model,config,epoch,split,loss,acc,f1,classes,variant,timestamp
tfidf_sgd_5c,"{""model"": ""tfidf_sgd_5c"", ""vect"": {""max_features"": 30000, ""ngram"": [1, 2]}, ""sgd"": {""loss"": ""log""}}",1,train,,0.6179368807537593,0.6112895431646705,5,tfidf_sgd_5c,1763809045.9077632
tfidf_sgd_5c,"{""model"": ""tfidf_sgd_5c"", ""vect"": {""max_features"": 30000, ""ngram"": [1, 2]}, ""sgd"": {""loss"": ""log""}}",1,val,,0.49611273080660834,0.48411714735051337,5,tfidf_sgd_5c,1763809045.909827
tfidf_sgd_5c,"{""model"": ""tfidf_sgd_5c"", ""vect"": {""max_features"": 30000, ""ngram"": [1, 2]}, ""sgd"": {""loss"": ""log""}}",2,train,,0.6327852919737588,0.6203273139396133,5,tfidf_sgd_5c,1763809046.3181071
tfidf_sgd_5c,"{""model"": ""tfidf_sgd_5c"", ""vect"": {""max_features"": 30000, ""ngram"": [1, 2]}, ""sgd"": {""loss"": ""log""}}",2,val,,0.5009718172983479,0.48668019664732587,5,tfidf_sgd_5c,1763809046.3191087
tfidf_sgd_5c,"{""model"": ""tfidf_sgd_5c"", ""vect"": {""max_features"": 30000, ""ngram"": [1, 2]}, ""sgd"": {""loss"": ""log""}}",3,train,,0.6301665721767771,0.619800760820113,5,tfidf_sgd_5c,1763809046.715151
tfidf_sgd_5c,"{""model"": ""tfidf_sgd_5c"", ""vect"": {""max_features"": 30000, ""ngram"": [1, 2]}, ""sgd"": {""loss"": ""log""}}",3,val,,0.4970845481049563,0.4839204507163891,5,tfidf_sgd_5c,1763809046.716153
tfidf_sgd_5c,"{""model"": ""tfidf_sgd_5c"", ""vect"": {""max_features"": 30000, ""ngram"": [1, 2]}, ""sgd"": {""loss"": ""log""}}",4,train,,0.637374800896304,0.6288056694521438,5,tfidf_sgd_5c,1763809047.1158628
tfidf_sgd_5c,"{""model"": ""tfidf_sgd_5c"", ""vect"": {""max_features"": 30000, ""ngram"": [1, 2]}, ""sgd"": {""loss"": ""log""}}",4,val,,0.5019436345966958,0.49081218402541593,5,tfidf_sgd_5c,1763809047.1168878
tfidf_sgd_5c,"{""model"": ""tfidf_sgd_5c"", ""vect"": {""max_features"": 30000, ""ngram"": [1, 2]}, ""sgd"": {""loss"": ""log""}}",5,train,,0.6318403930779407,0.6189207842698865,5,tfidf_sgd_5c,1763809047.5179014
tfidf_sgd_5c,"{""model"": ""tfidf_sgd_5c"", ""vect"": {""max_features"": 30000, ""ngram"": [1, 2]}, ""sgd"": {""loss"": ""log""}}",5,val,,0.5043731778425656,0.48915495198849346,5,tfidf_sgd_5c,1763809047.5199046
tfidf_sgd_3c,"{""model"": ""tfidf_sgd_3c"", ""vect"": {""max_features"": 30000, ""ngram"": [1, 2]}, ""sgd"": {""loss"": ""log""}}",1,train,,0.6244701816905591,0.5411805503191327,3,tfidf_sgd_3c,1763809051.7709916
